2026-03-03T21:20:10Z INFO bsky_collector_v2: out_base ok path=D:\BlueSky\data_v2_full mount=D:\
2026-03-03T21:20:10Z INFO bsky_collector_v2: job start subcommand=index-feed-generators dry_run=False resume=True
2026-03-03T22:06:26Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:5aed7rl7gfyuxb4pf2o67spr err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:07:02Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:6a66ndci4bpn5r6wodqcvn2u err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:07:48Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:bp5a36ogqa2xvpk5sx7t6luj err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:08:22Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:c2t2kcyzrswkloyft7m7ehnl err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:08:55Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:c7afeleqjznolno2b2iyfzfp err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:09:35Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:drtrnn2qaw7vsy7hrqkhe6ba err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:10:09Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:e24krjj2aythpc5cp3gyjx3w err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:10:32Z INFO bsky_collector_v2.job.index_feed_generators: indexed repo=did:plc:kubahtckhxgur2ienr6xhjdb part=601 records=1 next_cursor=set
2026-03-03T22:11:10Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:mdmtfcynmam4akdmkm3zrqxq err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:12:01Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:qikyybxjlcdf5vljd2nav5pi err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:12:45Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:tsgcm2fbe62gq46ycheztukk err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:12:57Z INFO bsky_collector_v2.job.index_feed_generators: indexed repo=did:plc:wpmsc4gkiej2dyr4qkbgrncs part=602 records=1 next_cursor=set
2026-03-03T22:13:29Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:wzcp2cnyyandhtvcmzh5hwt2 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:14:05Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:xa73c5ww7cwu3hueyzxmcoy7 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:14:38Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:xd5ieiau3rynq5ay423sa5cu err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:15:17Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:ymysqg5b2k6adoar6glbwico err=HttpError('InternalServerError: Internal Server Error')
