context_id,scheduled_window_start_utc,scheduled_window_end_utc,viewer_mode,vantage_id,feed_uri,bucket,cluster_text,riskset_size,context_total_y,shown_count,zero_exposure_count,gap_equal,gap_timing_residual
609,2026-03-21T20:40:00Z,2026-03-21T20:50:00Z,unauth,unauth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,lol,3,0.31546487678572877,1,2,0.6666666666666667,0.88765657121725
117,2026-03-19T18:20:00Z,2026-03-19T18:30:00Z,auth,auth,at://did:plc:cjjuc4g6kohd3nlztfsv3pfa/app.bsky.feed.generator/aaapznf46f6gs,longtail_random,commission,2,0.23981246656813146,1,1,0.5,0.8864936376897036
1884,2026-03-29T18:50:00Z,2026-03-29T19:00:00Z,auth,auth,at://did:plc:pmyqirafcp3jqdhrl7crpq7t/app.bsky.feed.generator/aaad4sb7tyvjw,popular_by_likecount,#caturday,2,0.18790182470910757,1,1,0.5,0.8847184347871397
1409,2026-03-24T18:20:00Z,2026-03-24T18:30:00Z,auth,auth,at://did:plc:tpsmmglg2coilcnma7cuhk54/app.bsky.feed.generator/aaag7pqa723cq,longtail_random,bsky.app/profile/did:...,3,0.1810425967800402,1,2,0.6666666666666666,0.880072784357406
127,2026-03-19T19:00:00Z,2026-03-19T19:10:00Z,auth,auth,at://did:plc:cjjuc4g6kohd3nlztfsv3pfa/app.bsky.feed.generator/aaapznf46f6gs,longtail_random,commission,2,0.23137821315975915,1,1,0.5,0.8762386816631988
1176,2026-03-23T13:30:00Z,2026-03-23T13:40:00Z,auth,auth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.generator/aaahvrj2v6l2u,popular_by_likecount,#art,4,0.21533827903669653,1,3,0.75,0.8585196770218112
1880,2026-03-29T18:30:00Z,2026-03-29T18:40:00Z,unauth,unauth,at://did:plc:pmyqirafcp3jqdhrl7crpq7t/app.bsky.feed.generator/aaad4sb7tyvjw,popular_by_likecount,#caturday,2,0.1905514124267734,1,1,0.5,0.8520928225211789
847,2026-03-22T12:30:00Z,2026-03-22T12:40:00Z,auth,auth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,www.theguardian.com/world/2026/m...,3,0.18003132665669264,1,2,0.6666666666666666,0.8438763087544123
1297,2026-03-24T08:30:00Z,2026-03-24T08:40:00Z,unauth,unauth,at://did:plc:4jty4oasfiriwcnrjmyw3aql/app.bsky.feed.generator/aaadfzkvbpqwc,popular_by_likecount,💀,2,0.18316925091363362,1,1,0.5,0.8400665567192053
626,2026-03-21T21:20:00Z,2026-03-21T21:30:00Z,auth,auth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,lol,2,0.27023815442731974,1,1,0.5,0.839159696713963
872,2026-03-22T13:50:00Z,2026-03-22T14:00:00Z,auth,auth,at://did:plc:cxuzwp5dzmxkrdr55qh25mgb/app.bsky.feed.generator/aaap2eo4gzzes,popular_by_likecount,good morning,5,0.18665241123894338,1,4,0.7999999999999999,0.8311259853078937
2075,2026-03-30T07:10:00Z,2026-03-30T07:20:00Z,auth,auth,at://did:plc:etrdfpmd433crk4fwm4omq7h/app.bsky.feed.generator/aaacqtlounqxc,popular_by_likecount,#oursky,3,0.23981246656813146,1,2,0.6666666666666667,0.8303201256085333
672,2026-03-22T00:10:00Z,2026-03-22T00:20:00Z,auth,auth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,www.theguardian.com/world/2026/m...,5,0.227670248696953,1,4,0.7999999999999999,0.8238116358645132
63,2026-03-19T10:30:00Z,2026-03-19T10:40:00Z,unauth,unauth,at://did:plc:lyrmsmhhg7vzz4ghj44y5xzq/app.bsky.feed.generator/fa92779cd55e,longtail_random,"rumours that more military assistance earmarked to #ukraine in the last us defence budget, will now divert to the middle east. what next for the little criminal in #kiev?",2,0.2559580248098155,1,1,0.5,0.8158334802289074
1912,2026-03-29T20:20:00Z,2026-03-29T20:30:00Z,auth,auth,at://did:plc:4ohogodxdernofx3m6lhcd2a/app.bsky.feed.generator/aaanejfp2tgzs,popular_by_likecount,'hilfsmittel' #fotovorschlag,5,0.27894294565112987,1,4,0.8,0.8096612754928214
